,Aerospace & Aviation,Agriculture,Automobile / Autocomponents,Banking / Insurance & Finance,Beauty & Wellness Industry,Building & Construction,Building / Hardware & Home Furnishings,Chemicals & Pharmaceuticals,Commerce or Humanities Stream,Defense & Military,Designing & Art,Education / Skill Development,Electronics & Hardware,Emergency Services,Engineering & Technology,Exams and Syllabus,Food Processing,Gems & Jewellery,Handlooms & Handicrafts,Healthcare,Humanistic Studies,Information Technology / Software,Institutes in India,ITES / BPO,Law & Order,Leather & Leather Goods,Management & Marketing,Media / Entertainment & Animation,Organised Retail,Psychometric Career Test,Public Admin & Government,Real Estate,Science & Research,Sports,Study Abroad,Telecom,Textiles & Garments,Tourism / Hospitality & Travel,Transportation/Logistics/Warehousing & Packaging,some error occured
4778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Bhopal School of Social Sciences Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4779,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Business School-University of Kashmir Srinagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4780,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Entrepreneurship School Gurgaon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4781,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Gandhigram Rural Institute Dindigul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4782,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Hindu College-MBA Machilipatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4783,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Kavery Engineering College Salem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Oxford College of Business Management Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4785,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Oxford College of Engineering Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4786,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Techno School Bhubaneswar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4787,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Technological Institute of Textile and Sciences Bhiwani,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4788,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Tipsglobal Institute Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4789,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thiagarajar College of Engineering Madurai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4790,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thiagarajar School of Management Thirupparankundram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4791,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thiruvalluvar College of Engineering and Technology Vandavasi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4792,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tirpude College of Social Work Nagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4793,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tirpude Institute of Management Education Nagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tirupati College of Technical Education Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4795,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TKM College of Engineering Kollam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4796,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TKM Institute of Management Karuvelil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4797,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TKR College of Engineering and Technology Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4798,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TKR Institute of Management and Science Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TMSS College of Management Studies Rangareddy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TN Rao College Rajkot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4801,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tolani Institute of Management Studies Kachchh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4802,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Translam Institute of Technology and Management Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4803,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trident Academy of Creative Technology Bhubaneswar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4804,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trinity College For Management and Technology Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4805,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trinity College of Engineering and Research Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4806,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trinity Institute of Management and Research Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4807,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trinity Institute of Professional Studies New Delhi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4808,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trivedi Institute of Management and Technology Fatehpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4809,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Truba College of Engineering and Technology Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tumkur University Tumkur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4811,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Udai Institute of Management Studies Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4812,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,UEI Global Education Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4813,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,UKA Tarsadia University Bardoli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4814,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unique Institute of Management and Technology Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4815,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unique Institute of Management Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4816,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United College of Engineering and Management Allahabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4817,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Institute of Designing Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Institute of Management Allahabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4819,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Institute of Management Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4820,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Mission Degree College Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4821,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United School of Business Management Bhubaneswar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4822,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United School of Business Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4823,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unitedworld School of Business Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4824,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unitedworld School of Business Kolkata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unitedworld School of Business Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4826,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Universal Business School Raigad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4827,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University Business School-Panjab University Chandigarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4828,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University College of Business Studies Shimla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4829,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Calicut Malappuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4830,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Kerala Thiruvananthapuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Science and Technology Khanapara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,University of Technology and Management Shillong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,UP Rajarshi Tandon Open University Allahabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4834,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,UPVU Dr Shakuntala Misra University Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4835,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ushodaya Business School Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Utkarsh Business School Bareilly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4837,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Uttam Institute of Management Studies Agra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4838,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Uttar Pradesh Technical University Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4839,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Uttarakhand Open University Haldwani,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4840,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Uttaranchal Institute of Management Dehradun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4841,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vaageswari Institute of Management Sciences Karimnagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4842,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vaikunth Mehta National Institute of Cooperative Management Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4843,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vaish College of Engineering Rohtak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4844,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vaishali Institute of Business and Rural Management Muzaffarpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Valliammai Engineering College Kancheepuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4846,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Value Education Ahmedabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4847,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vanguard Business School Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vardhaman College of Engineering Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4849,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vardhaman Mahaveer Open University Kota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vasavi Institute of Management and Computer Science Pedda Palli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4851,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vasavi Vidya Trust Group of Institutions Salem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4852,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vedanta Institute of Management and Studies Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4853,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Veer Bahadur Singh Purvanchal University Jaunpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4854,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Veer Narmad South Gujarat University Surat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4855,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Veermata Jijabai Technological Institute Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4856,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vel Tech Business School Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4857,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vel Tech Dr Rangrajan Dr Sakunthala Technical University Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4858,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vel Tech Ranga Sanku Arts College Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4859,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Velagapudi Ramakrishna Siddhartha Engineering College Vijaywada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4860,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Velalar College of Engineering and Technology Erode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4861,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Velammal College of Engineering and Technology Thiruvallur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4862,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Velammal Engineering College Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4863,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vels University Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Venkateshwara Institute of Management Sangli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4865,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VES Institute of Management Studies and Research Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4866,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vestal Academy of Information Technology and Management Eluru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4867,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidya Dayini College of Information Technology Rangareddy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4868,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidya International School of Business Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4869,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidya Jyothi Institute of Management and Technology Kurnool,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4870,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidya Jyothi Institute of Technology Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4871,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidya School of Business Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4872,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidyalankar Institute of Technology Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidyalankar School of Information Technology Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4874,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidyasagar Institute of ManagementBhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vidyasagar University Midnapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vignan Institute of Technology and Science Nalgonda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vignan University Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4878,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vignans Institute of Engineering for Women Vishakhapatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4879,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vignans Institute of Information Technology Vishakhapatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4880,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vijay Institute of Management Dindigul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4881,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vikrama Simhapuri University Nellore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4882,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vikrant Institute of Business Management Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vikrant Institute of Management Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vimal Jyothi Institute of Management and Research Kannur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4885,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vinayak Institute of Management Karnal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4886,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vinayak Vidyapeeth Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4887,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vinayaka College of IT and Business Management Kondapak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4888,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vinayaka Missions Sikkim University Sikkim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4889,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vinayaka Missions University Salem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4890,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vindhya Institute of Management and Research Satna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4891,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vinuthna College of Management Warangal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4892,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vishnu Institute of Technology Bhimavaram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vishwa Vishwani Institute of Systems and Management Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4894,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vishwakarma Global Business School Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4895,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vishwakarma Institute of Management Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4896,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vishwakarma Sahajeevan Institute of Management Ratnagiri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4897,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vishwasattya College of Management Nashik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4898,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vishweshraiya College of Education Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4899,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vision Institute of Management Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Visvesvaraya Technological University Belgaum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4901,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VIT Business School Vellore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4902,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VITS College of Engineering Vishakapatnam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4903,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Viva Institute Of Management And Research Virar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4904,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivek Vardhini School of Business Management Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4905,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekananda College of Technology and Management Aligarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekananda Global University Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4907,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekananda Institute of Management Studies Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4908,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekananda Institute of Technology Bangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekananda School of Post Graduate Studies Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4910,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekanandha College of Arts and Sciences for Women Namakkal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vivekanandha College of Engineering for Women Tiruchengode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4912,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VLB Janakiammal College of Arts and Science Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4913,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VNS Business School Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4914,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,VNS Group of Institutions Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
